rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166715805,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,4.0,6.0,5.0,0.0,1.0,20.0,Female
166718738,2.0,2.0,4.0,3.0,2.0,4.0,44.0,5.0,2.0,5.0,7.0,4.0,0.0,1.0,13.0,Female
166719948,1.0,2.0,3.0,1.0,1.0,2.0,10.0,5.0,2.0,6.0,7.0,4.0,0.0,1.0,8.0,Female
166763423,3.0,3.0,3.0,3.0,3.0,4.0,11.0,4.0,3.0,2.0,2.0,4.0,1.0,0.0,15.0,Male
166765691,4.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,6.0,7.0,5.0,0.0,1.0,19.0,Female
166767425,1.0,3.0,4.0,1.0,1.0,6.0,35.0,4.0,3.0,7.0,6.0,5.0,0.0,1.0,10.0,Female
166771258,3.0,4.0,4.0,3.0,3.0,3.0,10.0,3.0,3.0,6.0,6.0,5.0,0.0,1.0,17.0,Female
166774080,4.0,4.0,3.0,3.0,2.0,4.0,24.0,3.0,2.0,4.0,5.0,4.0,1.0,0.0,16.0,Male
166774701,1.0,1.0,1.0,1.0,1.0,5.0,80.0,3.0,2.0,5.0,5.0,4.0,0.0,1.0,5.0,Female
166775423,5.0,5.0,4.0,4.0,4.0,5.0,48.0,4.0,3.0,7.0,7.0,7.0,0.0,1.0,22.0,Female
166782894,4.0,4.0,5.0,4.0,4.0,2.0,0.0,1.0,4.0,4.0,7.0,6.0,0.0,1.0,21.0,Female
166783536,5.0,4.0,5.0,5.0,5.0,16.0,30.0,5.0,3.0,6.0,6.0,6.0,0.0,1.0,24.0,Female
166784178,2.0,2.0,3.0,2.0,2.0,1.0,50.0,3.0,2.0,5.0,6.0,4.0,0.0,1.0,11.0,Female
166784380,1.0,1.0,2.0,1.0,1.0,2.0,8.0,3.0,2.0,5.0,7.0,5.0,0.0,1.0,6.0,Female
166787905,3.0,2.0,3.0,2.0,2.0,10.0,50.0,2.0,3.0,6.0,7.0,3.0,0.0,1.0,12.0,Female
166791226,4.0,3.0,3.0,4.0,4.0,5.0,30.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,18.0,Male
166793650,3.0,2.0,4.0,3.0,3.0,10.0,35.0,3.0,3.0,5.0,6.0,3.0,1.0,0.0,15.0,Male
166794534,4.0,3.0,3.0,2.0,2.0,7.0,8.0,4.0,3.0,3.0,6.0,6.0,0.0,1.0,14.0,Female
166794760,2.0,2.0,4.0,2.0,2.0,3.0,20.0,4.0,2.0,7.0,6.0,6.0,0.0,1.0,12.0,Female
166795049,4.0,4.0,4.0,4.0,4.0,5.0,36.0,3.0,3.0,7.0,7.0,5.0,0.0,1.0,20.0,Female
166795957,5.0,4.0,4.0,3.0,5.0,3.0,55.0,3.0,3.0,4.0,6.0,6.0,0.0,1.0,21.0,Female
166796086,2.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,3.0,7.0,7.0,6.0,0.0,1.0,12.0,Female
166798037,4.0,4.0,5.0,3.0,4.0,6.0,30.0,4.0,2.0,6.0,6.0,6.0,0.0,1.0,20.0,Female
166798532,4.0,3.0,3.0,4.0,4.0,6.0,16.0,4.0,2.0,5.0,5.0,5.0,0.0,1.0,18.0,Female
166803146,4.0,2.0,4.0,3.0,1.0,12.0,49.0,4.0,2.0,6.0,6.0,7.0,0.0,1.0,14.0,Female
166820069,2.0,4.0,5.0,3.0,3.0,2.0,16.0,3.0,4.0,5.0,6.0,5.0,0.0,1.0,17.0,Female
166820823,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,7.0,2.0,0.0,1.0,18.0,Female
166820880,4.0,3.0,4.0,4.0,4.0,4.0,25.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,19.0,Male
166829627,3.0,3.0,3.0,3.0,3.0,2.0,9.0,3.0,3.0,4.0,4.0,4.0,1.0,0.0,15.0,Male
166830877,2.0,4.0,4.0,2.0,2.0,3.0,20.0,3.0,2.0,5.0,6.0,3.0,0.0,1.0,14.0,Female
166832658,4.0,4.0,4.0,3.0,3.0,1.0,30.0,3.0,3.0,5.0,6.0,6.0,0.0,1.0,18.0,Female
166833261,2.0,3.0,4.0,2.0,3.0,11.0,24.0,2.0,2.0,4.0,2.0,2.0,1.0,0.0,14.0,Male
166838981,3.0,2.0,5.0,4.0,4.0,5.0,30.0,4.0,2.0,4.0,7.0,5.0,0.0,1.0,18.0,Female
166839964,4.0,4.0,4.0,4.0,4.0,5.0,20.0,4.0,2.0,7.0,5.0,6.0,0.0,1.0,20.0,Female
166839971,2.0,3.0,2.0,2.0,3.0,10.0,25.0,3.0,3.0,4.0,5.0,3.0,0.0,1.0,12.0,Female
166839973,5.0,5.0,5.0,5.0,5.0,6.0,3.0,4.0,3.0,7.0,5.0,6.0,0.0,1.0,25.0,Female
166839975,4.0,3.0,3.0,4.0,3.0,4.0,9.0,1.0,3.0,7.0,7.0,7.0,0.0,1.0,17.0,Female
166839977,4.0,3.0,3.0,4.0,3.0,11.0,42.0,3.0,4.0,6.0,5.0,7.0,0.0,1.0,17.0,Female
166839978,4.0,4.0,4.0,3.0,3.0,3.0,18.0,3.0,2.0,3.0,4.0,2.0,0.0,1.0,18.0,Female
166839982,3.0,4.0,4.0,4.0,3.0,8.0,64.0,4.0,2.0,4.0,7.0,4.0,0.0,1.0,18.0,Female
166839987,1.0,2.0,2.0,2.0,3.0,5.0,34.0,4.0,3.0,5.0,6.0,4.0,1.0,0.0,10.0,Male
166840015,3.0,2.0,2.0,2.0,1.0,4.0,50.0,3.0,3.0,4.0,3.0,6.0,0.0,1.0,10.0,Female
166840028,4.0,4.0,4.0,4.0,3.0,3.0,50.0,3.0,3.0,6.0,7.0,3.0,0.0,1.0,19.0,Female
166840080,4.0,5.0,4.0,4.0,4.0,6.0,25.0,4.0,2.0,4.0,5.0,5.0,1.0,0.0,21.0,Male
166840527,5.0,4.0,5.0,5.0,2.0,4.0,35.0,4.0,3.0,4.0,6.0,4.0,0.0,1.0,21.0,Female
166840589,4.0,4.0,4.0,4.0,4.0,3.0,30.0,4.0,3.0,4.0,6.0,5.0,0.0,1.0,20.0,Female
166841017,3.0,3.0,4.0,3.0,2.0,10.0,38.0,3.0,3.0,5.0,7.0,5.0,0.0,1.0,15.0,Female
166841032,3.0,1.0,4.0,2.0,3.0,5.0,60.0,3.0,2.0,4.0,5.0,3.0,0.0,1.0,13.0,Female
166841288,4.0,1.0,4.0,5.0,3.0,3.0,24.0,3.0,3.0,2.0,6.0,3.0,0.0,1.0,17.0,Female
166841469,4.0,5.0,4.0,4.0,2.0,4.0,20.0,4.0,3.0,3.0,3.0,5.0,0.0,1.0,19.0,Female
166841706,4.0,4.0,5.0,3.0,3.0,7.0,45.0,4.0,2.0,7.0,7.0,6.0,0.0,1.0,19.0,Female
166842057,4.0,2.0,4.0,3.0,2.0,3.0,10.0,3.0,4.0,5.0,5.0,3.0,0.0,1.0,15.0,Female
166843609,2.0,5.0,5.0,5.0,2.0,5.0,10.0,2.0,4.0,7.0,7.0,6.0,0.0,1.0,19.0,Female
166843964,2.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,5.0,5.0,0.0,1.0,12.0,Female
166844353,3.0,2.0,2.0,2.0,1.0,2.0,40.0,3.0,2.0,2.0,5.0,2.0,0.0,1.0,10.0,Female
166844355,2.0,2.0,3.0,3.0,2.0,4.0,30.0,3.0,3.0,3.0,6.0,4.0,0.0,1.0,12.0,Female
166844788,3.0,4.0,5.0,3.0,3.0,5.0,20.0,4.0,2.0,3.0,4.0,5.0,0.0,1.0,18.0,Female
166845048,3.0,3.0,3.0,3.0,2.0,4.0,22.0,3.0,3.0,5.0,5.0,4.0,0.0,1.0,14.0,Female
166845182,3.0,3.0,3.0,3.0,3.0,4.0,40.0,3.0,2.0,2.0,4.0,5.0,0.0,1.0,15.0,Female
166845949,4.0,2.0,4.0,2.0,3.0,9.0,43.0,4.0,2.0,3.0,5.0,4.0,0.0,1.0,15.0,Female
166846076,4.0,3.0,4.0,3.0,4.0,4.0,30.0,5.0,2.0,3.0,4.0,4.0,0.0,1.0,18.0,Female
166846238,4.0,5.0,5.0,4.0,5.0,2.0,20.0,4.0,2.0,6.0,6.0,7.0,0.0,1.0,23.0,Female
166846557,4.0,4.0,4.0,4.0,2.0,4.0,26.0,3.0,3.0,6.0,6.0,5.0,0.0,1.0,18.0,Female
166846599,4.0,4.0,5.0,3.0,4.0,5.0,35.0,4.0,3.0,6.0,6.0,7.0,0.0,1.0,20.0,Female
166846885,4.0,4.0,5.0,2.0,2.0,7.0,50.0,3.0,4.0,5.0,5.0,4.0,0.0,1.0,17.0,Female
166847264,4.0,4.0,5.0,4.0,4.0,5.0,35.0,4.0,2.0,5.0,5.0,5.0,1.0,0.0,21.0,Male
166847425,3.0,3.0,4.0,4.0,4.0,2.0,16.0,3.0,3.0,5.0,6.0,5.0,0.0,1.0,18.0,Female
166847459,3.0,3.0,2.0,2.0,2.0,8.0,25.0,2.0,4.0,6.0,7.0,5.0,0.0,1.0,12.0,Female
166847858,4.0,3.0,3.0,4.0,4.0,5.0,15.0,4.0,3.0,7.0,7.0,3.0,0.0,1.0,18.0,Female
166848476,3.0,4.0,4.0,4.0,3.0,2.0,40.0,3.0,3.0,7.0,6.0,4.0,0.0,1.0,18.0,Female
166848865,4.0,2.0,3.0,4.0,4.0,7.0,30.0,4.0,2.0,7.0,6.0,4.0,1.0,0.0,17.0,Male
166849168,4.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,6.0,4.0,0.0,1.0,15.0,Female
166849510,3.0,2.0,3.0,2.0,2.0,5.0,50.0,2.0,3.0,7.0,7.0,2.0,0.0,1.0,12.0,Female
166849673,5.0,4.0,5.0,4.0,4.0,4.0,35.0,4.0,3.0,2.0,4.0,3.0,0.0,1.0,22.0,Female
166851127,5.0,3.0,4.0,1.0,2.0,4.0,60.0,5.0,2.0,7.0,7.0,2.0,1.0,0.0,15.0,Male
